count,dst,relation,src,weight
1,sent_7f7b87c404bb,CONTAINS,2016 aircel chennai open doubles,1.0
1,sent_8b0f0ea73162,CONTAINS,2016 aircel chennai open doubles,1.0
1,sent_912cf7984031,CONTAINS,2016 davis cup,1.0
1,sent_0afa4c2da284,CONTAINS,2016 hall of fame tennis championships doubles,1.0
1,sent_7873f48bdbc6,CONTAINS,2016 hall of fame tennis championships doubles,1.0
1,sent_9c0f80deb813,CONTAINS,2016 moselle open doubles,1.0
1,sent_3fc3b9b0ddd6,CONTAINS,2017 laver cup,1.0
1,sent_a7351cf2e421,CONTAINS,2017 laver cup,1.0
1,sent_faaca209170a,CONTAINS,22 jump street original motion picture score,1.0
1,the airport,USE,938914 passengers,1.0
1,sent_927dc89797a1,CONTAINS,a love song lee greenwood song,1.0
1,sent_bd80336b4f3d,CONTAINS,a love song lee greenwood song,1.0
1,sent_e7876f28283d,CONTAINS,a love song lee greenwood song,1.0
1,sent_1f37b43a3a38,CONTAINS,a mans man,1.0
1,sent_0627932daab4,CONTAINS,a night at the chinese opera,1.0
1,sent_6e7d07fcaa8e,CONTAINS,a night at the chinese opera,1.0
1,sent_81bcd0c84958,CONTAINS,a night at the chinese opera,1.0
1,sent_2e309c5c183e,CONTAINS,aalborghus gymnasium,1.0
1,sent_391a53fc7456,CONTAINS,adrian mannarino,1.0
1,sent_7121f93bcbfc,CONTAINS,adrian mannarino,1.0
1,sent_fb6ca4ada12f,CONTAINS,adrian mannarino,1.0
1,sent_25fcea2ed0cf,CONTAINS,aghajari oil field,1.0
1,sent_e8e352082f3b,CONTAINS,aghajari oil field,1.0
1,sent_e9a892975266,CONTAINS,aghajari oil field,1.0
1,sent_a5cc3ecde7f0,CONTAINS,ahvaz field,1.0
1,sent_cdb3d0a8926f,CONTAINS,ahvaz field,1.0
1,sent_e8e352082f3b,CONTAINS,ahvaz field,1.0
1,sent_1b9321b415d6,CONTAINS,alan garner,1.0
1,sent_48b1f2cbc0db,CONTAINS,alan white oasis drummer,1.0
1,sent_6b44881601d5,CONTAINS,alan white oasis drummer,1.0
1,sent_baca14fad8e4,CONTAINS,alan white oasis drummer,1.0
1,sent_e768b12f436e,CONTAINS,alan white oasis drummer,1.0
1,sent_841bddf341fb,CONTAINS,albert campbell singer,1.0
1,sent_f0cad0037994,CONTAINS,albert campbell singer,1.0
1,the film industry,ENTER,alessi,1.0
1,sent_fae4c7f82aaa,CONTAINS,alexei kondratiev,1.0
1,sent_8dda3511d2e0,CONTAINS,all about lisa,1.0
1,sent_ff805e813d57,CONTAINS,all about lisa,1.0
1,sent_516370eedb94,CONTAINS,always audacious,1.0
1,sent_727730727ee9,CONTAINS,always audacious,1.0
1,sent_ae98caa39bb8,CONTAINS,always audacious,1.0
1,sent_32914ac17923,CONTAINS,amazonian languages,1.0
1,sent_5a722c579b88,CONTAINS,amazonian languages,1.0
1,sent_c9fb7cc96cb0,CONTAINS,american beauty original motion picture score,1.0
1,sent_0d6fd380eda3,CONTAINS,an na,1.0
1,sent_a040b1a7c57d,CONTAINS,an na,1.0
1,sent_23620dfa025e,CONTAINS,andrea alpago,1.0
1,sent_da9c404103c9,CONTAINS,andrea alpago,1.0
1,sent_21a5c330fe90,CONTAINS,andy williams,1.0
1,sent_910f0309772b,CONTAINS,andy williams,1.0
1,sent_510523f47fec,CONTAINS,anmol gagan maan,1.0
1,sent_33745fa82c60,CONTAINS,anthony shriver,1.0
1,sent_3d7250614b6d,CONTAINS,antolin biaa podlaska county,1.0
1,sent_a8817c319449,CONTAINS,applause lady gaga song,1.0
1,sent_0d66097ffb81,CONTAINS,arabs in india,1.0
1,sent_125fb5eb0cde,CONTAINS,arabs in india,1.0
1,sent_1e7866d45a54,CONTAINS,arabs in india,1.0
1,sent_26e0b14a0772,CONTAINS,arabs in india,1.0
1,sent_4710ba3f2925,CONTAINS,arabs in india,1.0
1,sent_57addc69745a,CONTAINS,arabs in india,1.0
1,sent_684c0a33e825,CONTAINS,arabs in india,1.0
1,sent_6ef5f4c75a15,CONTAINS,arabs in india,1.0
1,sent_a67d324b79e5,CONTAINS,arabs in india,1.0
1,sent_bfbcc68f003b,CONTAINS,arabs in india,1.0
1,sent_0afa4c2da284,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_32b7eeca06c8,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_3ab56f30e268,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_4b3afc9277ad,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_4c9f5b68fe37,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_583cf308b087,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
2,sent_5bfdd653b600,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_746fbdf57352,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_7873f48bdbc6,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_7f7b87c404bb,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
3,sent_8b0f0ea73162,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_8c9897a92433,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_ab6b925db1a6,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_ba5ce2040604,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_bfc12a13cdc1,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_dce5f2ecffb1,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_f005ff375cbb,CANDIDATE_CHUNK,are both jonathan marray and wayne black british,0.8
1,sent_0619ea459209,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_1091b713b694,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_1450f8cb757e,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_14bdc67df763,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_161ea5c277fd,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_21b807bec8b4,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_3a47c511fe64,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_3d0974a19179,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_4bab493788cd,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_535fb44c548a,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_5d687ef92a86,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_5ff0b5725a40,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_8cbbcc431d11,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_b46f01e9857f,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_bd189569d5d1,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_c056d1203d76,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_c4e8174e95b8,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_d84416271be5,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_e7e8b81f5c2e,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_f2f1b2e3acc6,CANDIDATE_CHUNK,are mick jagger and brett scallions both musicians,0.8
1,sent_4720352f58ab,CONTAINS,armida weir,1.0
1,sent_80377884e5ec,CONTAINS,art laboe,1.0
1,sent_5d5661ca469e,CONTAINS,ask the smiths song,1.0
1,sent_6e44f1e9a720,CONTAINS,ask the smiths song,1.0
1,sent_887b6134becf,CONTAINS,ask the smiths song,1.0
1,three roles,PLAY,atkinson,1.0
1,sent_c3df568af622,CONTAINS,awake film,1.0
1,sent_ef80c69bd0f1,CONTAINS,awake film,1.0
1,sent_720a393a6db1,CONTAINS,badlands unlimited,1.0
1,sent_f9567c15e0da,CONTAINS,badlands unlimited,1.0
1,sent_3f4e64ab48cb,CONTAINS,barbed wire 1927 film,1.0
1,sent_ba88bf89ca8e,CONTAINS,barbed wire 1927 film,1.0
1,sent_d3d4d6d8c15b,CONTAINS,batman score,1.0
1,sent_d64ff7c7ab85,CONTAINS,batman score,1.0
1,sent_80ef0118c1f6,CONTAINS,beautiful disease,1.0
1,sent_23a8c772bb26,CONTAINS,beautiful young minds,1.0
1,sent_9aaccd29591b,CONTAINS,beautiful young minds,1.0
1,sent_14305a2d0bdf,CONTAINS,beauty and the beast 1991 soundtrack,1.0
1,sent_801896c546aa,CONTAINS,beauty and the beast 1991 soundtrack,1.0
1,sent_c59f6cfdd682,CONTAINS,beauty and the beast 1991 soundtrack,1.0
1,sent_c7ba2096c5df,CONTAINS,beauty and the beast 1991 soundtrack,1.0
1,sent_ee77301a583d,CONTAINS,beauty and the beast 1991 soundtrack,1.0
1,performances,FEATURE,beauty and the beast original motion picture soundtrack,1.0
1,sent_461ec7832c8d,CONTAINS,beckeredberg rivalry,1.0
1,sent_95fa71640f2d,CONTAINS,beckeredberg rivalry,1.0
1,sent_f8b9b597756a,CONTAINS,beckeredberg rivalry,1.0
1,sent_5eadd7ce73f6,CONTAINS,behind the player duff mckagan,1.0
1,sent_87571ee67587,CONTAINS,berber languages,1.0
1,sent_9e87862c4cbf,CONTAINS,berber languages,1.0
1,sent_a2d4fff0cca4,CONTAINS,berber languages,1.0
1,sent_0d9db78e43ae,CONTAINS,berber orthography,1.0
1,sent_840e3f74e078,CONTAINS,berber orthography,1.0
1,sent_b2b652b58027,CONTAINS,berber orthography,1.0
1,sent_e9d40078fe34,CONTAINS,berber orthography,1.0
1,sent_08651c963e92,CONTAINS,best friends brother,1.0
1,sent_284d6684f748,CONTAINS,best friends brother,1.0
1,sent_ab90fed439bc,CONTAINS,best friends brother,1.0
1,sent_790f2baec140,CONTAINS,billy howle,1.0
1,sent_a8bc3e3dfee8,CONTAINS,billy howle,1.0
1,sent_c1a0d9cf67db,CONTAINS,billy howle,1.0
1,sent_d7d410190215,CONTAINS,billy howle,1.0
1,sent_0cc116d11182,CONTAINS,bionicle legends,1.0
1,sent_11efd729d1ce,CONTAINS,bionicle legends,1.0
1,sent_cd21d04441d1,CONTAINS,bionicle legends,1.0
1,sent_01e125782de6,CONTAINS,bishop international airport,1.0
1,sent_1a096d6fa507,CONTAINS,bishop international airport,1.0
1,sent_34e992ed8746,CONTAINS,bishop international airport,1.0
1,sent_a1cc05f98a77,CONTAINS,bishop international airport,1.0
1,sent_c13d51aead5e,CONTAINS,bishop international airport,1.0
1,sent_fa779dba0bcb,CONTAINS,bishop international airport,1.0
1,sent_33f4cb3cd6d7,CONTAINS,black 13,1.0
1,sent_c2d982692a4f,CONTAINS,black 13,1.0
1,sent_27d49c7e8ae9,CONTAINS,blackzilians,1.0
1,sent_9b0b1e330ee2,CONTAINS,blackzilians,1.0
1,sent_110df37fee88,CONTAINS,blog wars,1.0
1,sent_938edec0ec47,CONTAINS,blond eckbert,1.0
1,sent_d5edbaebea77,CONTAINS,blond eckbert,1.0
1,sent_8bff58746d63,CONTAINS,blow kesha song,1.0
1,sent_b89fe6dec94b,CONTAINS,blow kesha song,1.0
1,sent_84ecc378fe9b,CONTAINS,bobby 2006 film,1.0
1,sent_0bf0e3d54d70,CONTAINS,branko tomovic,1.0
1,sent_281b3835fec4,CONTAINS,branko tomovic,1.0
1,sent_54162a8ac478,CONTAINS,branko tomovic,1.0
1,sent_60ab565ac3cf,CONTAINS,branko tomovic,1.0
1,sent_75d5651c026b,CONTAINS,branko tomovic,1.0
1,sent_8252592f489a,CONTAINS,branko tomovic,1.0
1,sent_88132e4499ae,CONTAINS,branko tomovic,1.0
1,sent_c9f55e60160d,CONTAINS,branko tomovic,1.0
1,sent_5d687ef92a86,CONTAINS,brett scallions,1.0
1,sent_d84416271be5,CONTAINS,brett scallions,1.0
1,sent_d8bf7cd24a88,CONTAINS,brian r etting,1.0
1,sent_896660cd3ff6,CONTAINS,broadway love,1.0
1,sent_95b55df12cde,CONTAINS,broadway love,1.0
1,sent_7c6dc83062c9,CONTAINS,brooklyn grange,1.0
1,sent_8e60d8a99cb9,CONTAINS,brooklyn grange,1.0
1,sent_3853ec734ea5,CONTAINS,brooklyn heights,1.0
1,sent_6b0a5c2a0112,CONTAINS,brooklyn heights,1.0
1,sent_c1b550797b21,CONTAINS,brooklyn heights,1.0
1,sent_61e801981cb5,CONTAINS,bryan schroder,1.0
1,sent_6f428ef35ed2,CONTAINS,bryan schroder,1.0
1,sent_bca7a93c2c5a,CONTAINS,bryan schroder,1.0
1,sent_d94267e94f90,CONTAINS,bryan schroder,1.0
1,sent_2ae3ea3a109f,CONTAINS,by the beautiful sea song,1.0
1,sent_4c6232ab3c5a,CONTAINS,by the beautiful sea song,1.0
1,sent_e270dbfac028,CONTAINS,california state summer school for the arts,1.0
1,sent_e37b7474a06e,CONTAINS,california state summer school for the arts,1.0
1,sent_26f2897db318,CONTAINS,canned laughter sitcom,1.0
1,sent_74c4d8b1b156,CONTAINS,canned laughter sitcom,1.0
1,sent_cd454b6cb7c0,CONTAINS,carabobo field,1.0
1,sent_dae324f06f3b,CONTAINS,carabobo field,1.0
1,sent_782fffa5e494,CONTAINS,cargo 360,1.0
1,sent_8af694b2a8d9,CONTAINS,cargo 360,1.0
1,sent_0c8cf832be58,CONTAINS,carlene lefevre,1.0
1,sent_4bf22e9e21c5,CONTAINS,carlene lefevre,1.0
1,sent_26968a0db5ec,CONTAINS,castle rock brewery,1.0
1,sent_31af119d0d15,CONTAINS,castle rock brewery,1.0
1,sent_a0a209d620b2,CONTAINS,castle rock brewery,1.0
1,sent_5c3e98728568,CONTAINS,cedar ridge high school texas,1.0
1,sent_7f8b505c2eb8,CONTAINS,cedar ridge high school texas,1.0
1,sent_a7965642da10,CONTAINS,cedar ridge high school texas,1.0
1,sent_a4bfe9ac90f6,CONTAINS,celtic art,1.0
1,sent_03ff8369e8d6,CONTAINS,celtic nations,1.0
1,sent_42da1d25f025,CONTAINS,celtic studies,1.0
1,sent_912eff041c85,CONTAINS,celtic studies,1.0
1,sent_cf984d597fc9,CONTAINS,celtic studies,1.0
1,sent_19ebeee37051,CONTAINS,charles de gaulle airport,1.0
1,sent_a8913937212a,CONTAINS,charles de gaulle airport,1.0
1,sent_0f7883c493f5,CONTAINS,charles frasersmith,1.0
1,sent_7d397204653e,CONTAINS,charles frasersmith,1.0
1,sent_8d07633d7132,CONTAINS,charles frasersmith,1.0
1,sent_cb821827180b,CONTAINS,charles tazewell,1.0
1,sent_8a1c1f74a079,CONTAINS,chef amp brewer,1.0
1,sent_6415b18f021b,CONTAINS,chinese australians,1.0
1,sent_e772914ae520,CONTAINS,chinese australians,1.0
1,sent_a61d1780b6b4,CONTAINS,cho yongpil,1.0
1,sent_bb3621140e40,CONTAINS,cho yongpil,1.0
1,sent_bbaa4a780a51,CONTAINS,chris barnes bowler,1.0
1,sent_cc79698761e1,CONTAINS,chris barnes bowler,1.0
1,sent_8b578abfb86e,CONTAINS,christian educational consortium,1.0
1,sent_515a39c94314,CONTAINS,cineriz,1.0
1,sent_69bcf207f2a9,CONTAINS,cineriz,1.0
1,sent_43aea8cd68b5,CONTAINS,circuit court,1.0
1,sent_b138c62f49e0,CONTAINS,cleveland high school north carolina,1.0
1,sent_096d0fc77f9a,CONTAINS,colonel sun,1.0
1,sent_c632f4d2e62f,CONTAINS,colonel sun,1.0
1,sent_58b0376ffa88,CONTAINS,commedia allitaliana,1.0
1,sent_603719fa2587,CONTAINS,commissioner v flowers,1.0
1,sent_c103c1ab1710,CONTAINS,commissioner v flowers,1.0
1,the project,FUND,community investors,1.0
1,sent_840ba2d5589b,CONTAINS,conestoga convention,1.0
1,sent_a230aa0df90b,CONTAINS,conestoga convention,1.0
1,sent_e40150bd7ae2,CONTAINS,connie beauchamp,1.0
1,sent_56b22126e275,CONTAINS,continental celtic languages,1.0
1,sent_6b7ef96eddc5,CONTAINS,continental celtic languages,1.0
1,sent_bebe39c22754,CONTAINS,continental celtic languages,1.0
1,sent_c07b89b48434,CONTAINS,continental celtic languages,1.0
1,sent_50a3d8ceb5b8,CONTAINS,corn school,1.0
1,sent_77c50647793d,CONTAINS,corn school,1.0
1,sent_913abc885d93,CONTAINS,corn school,1.0
1,sent_44bee09d521b,CONTAINS,crazy in love,1.0
1,sent_8139714f71b1,CONTAINS,crazy in love,1.0
1,sent_a99c0d10d44f,CONTAINS,crazy in love,1.0
1,sent_0b7a348da63b,CONTAINS,cuban overture,1.0
1,sent_9348e09f62e8,CONTAINS,cuban overture,1.0
1,sent_b481a2c1a6e2,CONTAINS,cuban overture,1.0
1,sent_285726a0c10a,CONTAINS,cultural depictions of william iii of england,1.0
1,sent_5f86fed8418f,CONTAINS,culture clash in americca,1.0
1,sent_c4a30e935f21,CONTAINS,culture clash in americca,1.0
1,sent_87021ec5990e,CONTAINS,curmudgeons film,1.0
1,sent_216e444a941e,CONTAINS,czarna dabrowka,1.0
1,sent_7fbf9341172d,CONTAINS,czarna dabrowka,1.0
1,sent_9ab342be5018,CONTAINS,czarna dabrowka,1.0
1,sent_da659c6d0a86,CONTAINS,czarna dabrowka,1.0
1,sent_05f19a48dc38,CONTAINS,daler mehndi,1.0
1,sent_d6d75ad6164d,CONTAINS,daler mehndi,1.0
1,sent_67b84b486dd2,CONTAINS,danny barcelona,1.0
1,sent_dadc2df71f4f,CONTAINS,danny barcelona,1.0
1,sent_eb92cf0e34b6,CONTAINS,danny barcelona,1.0
1,sent_02f716da07a0,CONTAINS,dark river 2017 film,1.0
1,sent_ae806eba4212,CONTAINS,dark river 2017 film,1.0
1,sent_4a8d647ea78d,CONTAINS,david branch fighter,1.0
1,sent_e1c7fff35670,CONTAINS,david branch fighter,1.0
1,sent_50bdfa69be99,CONTAINS,david yates,1.0
1,sent_01544a21c85e,CONTAINS,deer ridge open space,1.0
1,sent_2e8fd2585181,CONTAINS,deer ridge open space,1.0
1,sent_680102fb74db,CONTAINS,deer ridge open space,1.0
1,sent_989e10e8d5ba,CONTAINS,deer ridge open space,1.0
1,sent_b8827cc7f6cb,CONTAINS,deer ridge open space,1.0
1,sent_105421a049c8,CONTAINS,definitely maybe,1.0
1,sent_5c7d6b8eba19,CONTAINS,definitely maybe,1.0
1,sent_266fb94d5d2b,CONTAINS,definitely maybe tour,1.0
1,sent_29874aa26e9c,CONTAINS,definitely maybe tour,1.0
1,sent_4e499af7dd33,CONTAINS,demons fatboy slim song,1.0
1,sent_51ae96c3435f,CONTAINS,demons fatboy slim song,1.0
1,sent_ae2b43f66cf3,CONTAINS,demons fatboy slim song,1.0
1,sent_af1c6a6a31e7,CONTAINS,demons fatboy slim song,1.0
1,sent_2df07eb855d2,CONTAINS,derrick gainer,1.0
1,sent_531f34b2e760,CONTAINS,derrick gainer,1.0
1,sent_b9bae79566b0,CONTAINS,derrick gainer,1.0
1,sent_c25b87325e2c,CONTAINS,director of the united states secret service,1.0
1,sent_e03ddd9821b5,CONTAINS,director of the united states secret service,1.0
1,sent_8cbbcc431d11,CONTAINS,disease song,1.0
1,sent_87631a375a65,CONTAINS,divorce italian style,1.0
1,sent_bbb49c4241de,CONTAINS,divorce italian style,1.0
1,sent_d0842b4d7ce4,CONTAINS,divorce italian style,1.0
1,sent_f23616a10c0f,CONTAINS,divorce italian style,1.0
1,sent_02a80f516545,CONTAINS,do you miguel song,1.0
1,sent_e51ac8cab446,CONTAINS,do you miguel song,1.0
1,sent_fb99ede8403d,CONTAINS,do you miguel song,1.0
1,sent_2b5e2f180983,CONTAINS,dollar for the dead,1.0
1,sent_d8a44f45ddca,CONTAINS,dollar for the dead,1.0
1,sent_e548491372af,CONTAINS,dollar for the dead,1.0
1,sent_fee40dd4298e,CONTAINS,dollar for the dead,1.0
1,sent_10927afec631,CONTAINS,dont look back in anger,1.0
1,sent_4b81b6c56e83,CONTAINS,dont look back in anger,1.0
1,sent_09de92f79bba,CONTAINS,downtown brooklyn cultural district,1.0
1,sent_3cd166eec393,CONTAINS,downtown brooklyn cultural district,1.0
1,sent_b8ccba98e33b,CONTAINS,doyles cafe,1.0
1,sent_17332a09ef7f,CONTAINS,dundee canal,1.0
1,sent_b49594bab7cf,CONTAINS,dundee canal,1.0
1,sent_dbf2b9d91ea5,CONTAINS,dundee canal,1.0
1,sent_24bccb3ce55c,CONTAINS,dungeness school,1.0
1,sent_b2d6139ce3da,CONTAINS,dungeness school,1.0
1,sent_c9c7e0d8580c,CONTAINS,dungeness school,1.0
1,sent_d7624696e737,CONTAINS,dungeness school,1.0
1,sent_fb1170cb4a6d,CONTAINS,dungeness school,1.0
1,lenape camps,ATTACK,dutch soldiers,1.0
1,sent_354344f60051,CONTAINS,dwarka,1.0
1,sent_53b832183005,CONTAINS,dyula language,1.0
1,sent_62abcb7f46c7,CONTAINS,dyula language,1.0
1,sent_b91d897739fa,CONTAINS,dyula language,1.0
1,sent_19872d7d7633,CONTAINS,e p thompson,1.0
1,sent_1ade13238217,CONTAINS,e p thompson,1.0
1,sent_54559487da36,CONTAINS,e p thompson,1.0
1,sent_704bef5eeb93,CONTAINS,e p thompson,1.0
1,sent_abf8a09b577b,CONTAINS,e p thompson,1.0
1,sent_7e0fd8a58f52,CONTAINS,eagle aviation france,1.0
1,sent_8034204ce502,CONTAINS,eagle aviation france,1.0
1,the series 1413,LEAD,edberg,1.0
1,sent_0ab5cd9c1ca3,CONTAINS,edberglendl rivalry,1.0
1,sent_444ee6f6a6ee,CONTAINS,edberglendl rivalry,1.0
1,sent_463e999f8973,CONTAINS,edberglendl rivalry,1.0
1,sent_7817a897d987,CONTAINS,eddy arnold,1.0
1,sent_7fe8d47d1791,CONTAINS,eddy arnold,1.0
1,sent_84ba36e42ac4,CONTAINS,eddy arnold,1.0
1,sent_b97e6d3045a2,CONTAINS,edouard rogervasselin,1.0
1,sent_c4a2b2b12b52,CONTAINS,edouard rogervasselin,1.0
1,sent_d9a893728ba7,CONTAINS,edouard rogervasselin,1.0
1,sent_66edd71950ff,CONTAINS,eliot spitzer,1.0
1,sent_b0b2d54238e8,CONTAINS,elisabeth moss,1.0
1,sent_5ff0b5725a40,CONTAINS,elizabeth jagger,1.0
1,sent_f2f1b2e3acc6,CONTAINS,elizabeth jagger,1.0
1,sent_ac7ba43923ee,CONTAINS,ella fitzgerald,1.0
1,sent_a24b40b069b7,CONTAINS,emilio estevez,1.0
1,sent_af44bfbbe377,CONTAINS,emilio estevez,1.0
1,sent_202355e770cd,CONTAINS,english neighborhood,1.0
1,sent_ec001646b7cb,CONTAINS,english neighborhood,1.0
1,sent_c9f6b0e466b5,CONTAINS,enimex,1.0
1,sent_71c3e03854b0,CONTAINS,eric s pistorius,1.0
1,sent_fecf3aefdf07,CONTAINS,eric s pistorius,1.0
1,sent_466d43f6b630,CONTAINS,estado de occidente,1.0
1,sent_93870d3df201,CONTAINS,estado de occidente,1.0
1,sent_a0e76d3e7423,CONTAINS,estado de occidente,1.0
1,sent_b9963f3c4b0d,CONTAINS,estado de occidente,1.0
1,sent_9c7ee884c4fe,CONTAINS,everyday ariana grande song,1.0
1,sent_e2368cd6e024,CONTAINS,everyday ariana grande song,1.0
1,ivo karlovic,DEFEAT,federico delbonis,1.0
1,sent_0228f29340bc,CONTAINS,fix you,1.0
1,sent_31a359fb9f75,CONTAINS,fix you,1.0
1,sent_1fa96198599a,CONTAINS,floyd mayweather jr vs juan manuel marquez,1.0
1,sent_060fc4b43db3,CONTAINS,fort greene brooklyn,1.0
1,sent_85c2494cf40c,CONTAINS,fort greene brooklyn,1.0
1,sent_43eb9b0ca2dd,CONTAINS,fort lee new jersey,1.0
1,sent_57eb83e63cf1,CONTAINS,fort lee new jersey,1.0
1,sent_c769db6ce754,CONTAINS,fort lee new jersey,1.0
1,sent_6b376b1eab01,CONTAINS,freddie norwood,1.0
1,sent_b8b08a507901,CONTAINS,gabor nogradi,1.0
1,sent_1695b24bf78c,CONTAINS,george gershwin,1.0
1,sent_8847a374ffa7,CONTAINS,george gershwin,1.0
1,sent_d8a89ea107ab,CONTAINS,george gershwin,1.0
1,sent_04a2f3f4d671,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_0627932daab4,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_0b7a348da63b,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_1695b24bf78c,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_2fc90d1ec26b,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_4720352f58ab,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_4a02406b533f,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
1,sent_53b050dcc387,CANDIDATE_CHUNK,george gershwin is an american composer and judith weir is a composer from which country,0.8
