doc_title,id,is_gold,label,reliability,type
,2009 us open mens singles,,2009 US Open – Men's Singles,0.8,Document
,2009 wilbooks,,NOUN_PHRASE,0.8,Concept
,20092010,,DATE,0.8,Entity
,2010,,DATE,0.8,Entity
,2010 challenger dcns de cherbourg doubles,,2010 Challenger DCNS de Cherbourg – Doubles,0.8,Document
,2010 tean international mens doubles,,2010 TEAN International – Men's Doubles,0.8,Document
,2010 us open mens singles,,2010 US Open – Men's Singles,0.8,Document
,20102011 school year,,DATE,0.8,Entity
,2011,,DATE,0.8,Entity
,2011 bnp paribas primrose bordeaux doubles,,2011 BNP Paribas Primrose Bordeaux – Doubles,0.8,Document
,2011 school year,,DATE,0.8,Entity
,20112012,,DATE,0.8,Entity
,2012,,DATE,0.8,Entity
,2012 trophee des alpilles doubles,,2012 Trophée des Alpilles – Doubles,0.8,Document
,2012 wimbledon championships mens doubles,,2012 Wimbledon Championships – Men's Doubles,0.8,Document
,20122013,,DATE,0.8,Entity
,2013,,DATE,0.8,Entity
,2013 2017,,DATE,0.8,Entity
,2013 abn amro world tennis tournament,,2013 ABN AMRO World Tennis Tournament,0.8,Document
,2013 bh telecom indoors doubles,,2013 BH Telecom Indoors – Doubles,0.8,Document
,2013 rai open doubles,,2013 Rai Open – Doubles,0.8,Document
,2013 wimbledon championships,,NOUN_PHRASE,0.8,Concept
,2013 wimbledon championships mens doubles,,2013 Wimbledon Championships – Men's Doubles,0.8,Document
,2013s enemies closer,,NOUN_PHRASE,0.8,Concept
,2014,,DATE,0.8,Entity
,2014 hall of fame tennis championships doubles,,2014 Hall of Fame Tennis Championships – Doubles,0.8,Document
,2015,,DATE,0.8,Entity
,2015 cis university cup,,2015 CIS University Cup,0.8,Document
,2016,,DATE,0.8,Entity
,2016 aircel chennai open doubles,,2016 Aircel Chennai Open – Doubles,0.8,Document
,2016 davis cup,,2016 Davis Cup,0.8,Document
,2016 hall of fame tennis championships doubles,,2016 Hall of Fame Tennis Championships – Doubles,0.8,Document
,2016 moselle open doubles,,2016 Moselle Open – Doubles,0.8,Document
,20162017 school year,,DATE,0.8,Entity
,2017,,DATE,0.8,Entity
,2017 laver cup,,2017 Laver Cup,0.8,Document
,2018,,DATE,0.8,Entity
,21 september,,NOUN_PHRASE,0.8,Concept
,21 september 2013,,DATE,0.8,Entity
,22 april,,NOUN_PHRASE,0.8,Concept
,22 april 1995,,DATE,0.8,Entity
,22 jump street,,NOUN_PHRASE,0.8,Concept
,22 jump street original motion picture score,,22 Jump Street (Original Motion Picture Score),0.8,Document
,22nd,,DATE,0.8,Entity
,24 august,,NOUN_PHRASE,0.8,Concept
,24 august 2017,,DATE,0.8,Entity
,24 october 1856,,DATE,0.8,Entity
,24000 m2,,NOUN_PHRASE,0.8,Concept
,25 april 1976,,DATE,0.8,Entity
,25 august 1971,,DATE,0.8,Entity
,25 ko,,NOUN_PHRASE,0.8,Concept
,25 march 1975,,DATE,0.8,Entity
,2510,,DATE,0.8,Entity
,26 january,,NOUN_PHRASE,0.8,Concept
,26 january 1904,,DATE,0.8,Entity
,26 july 1943,,DATE,0.8,Entity
,26 minutes,,NOUN_PHRASE,0.8,Concept
,26 november,,NOUN_PHRASE,0.8,Concept
,28 april 1604,,DATE,0.8,Entity
,28 november 1983,,DATE,0.8,Entity
,29 august,,NOUN_PHRASE,0.8,Concept
,29 august 1641,,DATE,0.8,Entity
,29 august 1994,,DATE,0.8,Entity
,29 june 1988,,DATE,0.8,Entity
,3,,DATE,0.8,Entity
,3 career academies,,NOUN_PHRASE,0.8,Concept
,3 february,,NOUN_PHRASE,0.8,Concept
,3 february 1924,,DATE,0.8,Entity
,3 instalments,,NOUN_PHRASE,0.8,Concept
,30 faculty,,NOUN_PHRASE,0.8,Concept
,31 march 1914,,DATE,0.8,Entity
,320,,MONEY,0.8,Entity
,326 us,,NOUN_PHRASE,0.8,Concept
,37 ko,,NOUN_PHRASE,0.8,Concept
,4,,DATE,0.8,Entity
,40,,DATE,0.8,Entity
,46,,DATE,0.8,Entity
,5,,DATE,0.8,Entity
,5 hours,,NOUN_PHRASE,0.8,Concept
,5041,,NOUN_PHRASE,0.8,Concept
,56,,NOUN_PHRASE,0.8,Concept
,6,,DATE,0.8,Entity
,6 february,,NOUN_PHRASE,0.8,Concept
,6 february 1994,,DATE,0.8,Entity
,61 tracks,,NOUN_PHRASE,0.8,Concept
,62,,NOUN_PHRASE,0.8,Concept
,64,,NOUN_PHRASE,0.8,Concept
,657 towne road,,NOUN_PHRASE,0.8,Concept
,7,,DATE,0.8,Entity
,73 students,,NOUN_PHRASE,0.8,Concept
,737 aircraft,,NOUN_PHRASE,0.8,Concept
,750000 oilbbld,,NOUN_PHRASE,0.8,Concept
,76,,NOUN_PHRASE,0.8,Concept
,8,,DATE,0.8,Entity
,8 april,,NOUN_PHRASE,0.8,Concept
,8 april 1979,,DATE,0.8,Entity
,9,,DATE,0.8,Entity
,9 august 1973,,DATE,0.8,Entity
,9 member schools,,NOUN_PHRASE,0.8,Concept
,9 years,,DATE,0.8,Entity
,900 cubic feet,,NOUN_PHRASE,0.8,Concept
,938914 passengers,,NOUN_PHRASE,0.8,Concept
,a 12yearold boy,,NOUN_PHRASE,0.8,Concept
,a 1952 album,,NOUN_PHRASE,0.8,Concept
,a 1959 album,,NOUN_PHRASE,0.8,Concept
,a 1981 series,,NOUN_PHRASE,0.8,Concept
,a 9thround ko,,NOUN_PHRASE,0.8,Concept
,a battle,,NOUN_PHRASE,0.8,Concept
,a book,,NOUN_PHRASE,0.8,Concept
,a borough,,NOUN_PHRASE,0.8,Concept
,a bottle,,NOUN_PHRASE,0.8,Concept
,a boxing,,NOUN_PHRASE,0.8,Concept
,a branch,,NOUN_PHRASE,0.8,Concept
,a brewer,,NOUN_PHRASE,0.8,Concept
,a brewery,,NOUN_PHRASE,0.8,Concept
,a brief run,,NOUN_PHRASE,0.8,Concept
,a british actor,,NOUN_PHRASE,0.8,Concept
,a british actress,,NOUN_PHRASE,0.8,Concept
,a british composer,,NOUN_PHRASE,0.8,Concept
,a british historian,,NOUN_PHRASE,0.8,Concept
,a british series,,NOUN_PHRASE,0.8,Concept
,a british sitcom,,NOUN_PHRASE,0.8,Concept
,a britpop band,,NOUN_PHRASE,0.8,Concept
,a bronze medalist,,NOUN_PHRASE,0.8,Concept
,a cabin area,,NOUN_PHRASE,0.8,Concept
,a campground,,NOUN_PHRASE,0.8,Concept
,a canal,,NOUN_PHRASE,0.8,Concept
,a canal network,,NOUN_PHRASE,0.8,Concept
,a capacity,,NOUN_PHRASE,0.8,Concept
,a cardboard sleeve,,NOUN_PHRASE,0.8,Concept
,a career,,NOUN_PHRASE,0.8,Concept
,a careerhigh singles,,NOUN_PHRASE,0.8,Concept
,a cbbc programme,,NOUN_PHRASE,0.8,Concept
,a century,,NOUN_PHRASE,0.8,Concept
,a chain,,NOUN_PHRASE,0.8,Concept
,a challenge,,NOUN_PHRASE,0.8,Concept
,a charter airline,,NOUN_PHRASE,0.8,Concept
,a childrens book,,NOUN_PHRASE,0.8,Concept
,a city,,NOUN_PHRASE,0.8,Concept
,a clade,,NOUN_PHRASE,0.8,Concept
,a classmate,,NOUN_PHRASE,0.8,Concept
,a clear sky,,NOUN_PHRASE,0.8,Concept
,a clerk,,NOUN_PHRASE,0.8,Concept
,a coldplay concert,,NOUN_PHRASE,0.8,Concept
,a collaboration,,NOUN_PHRASE,0.8,Concept
,a collaboration beer,,NOUN_PHRASE,0.8,Concept
,a collection,,NOUN_PHRASE,0.8,Concept
,a companion,,NOUN_PHRASE,0.8,Concept
,a companion trilogy,,NOUN_PHRASE,0.8,Concept
,a competitive eater,,NOUN_PHRASE,0.8,Concept
,a compilation,,NOUN_PHRASE,0.8,Concept
,a compilation album,,NOUN_PHRASE,0.8,Concept
,a composer,,NOUN_PHRASE,0.8,Concept
,a comprehensive school,,NOUN_PHRASE,0.8,Concept
,a conflict,,NOUN_PHRASE,0.8,Concept
,a contestant,,NOUN_PHRASE,0.8,Concept
,a countercultural figure,,NOUN_PHRASE,0.8,Concept
,a cousin,,NOUN_PHRASE,0.8,Concept
,a cryptic letter,,NOUN_PHRASE,0.8,Concept
,a daryal radar,,NOUN_PHRASE,0.8,Concept
,a dealer room,,NOUN_PHRASE,0.8,Concept
,a defence analyst,,NOUN_PHRASE,0.8,Concept
,a department,,NOUN_PHRASE,0.8,Concept
,a designated centre,,NOUN_PHRASE,0.8,Concept
,a designated host,,NOUN_PHRASE,0.8,Concept
,a different institution,,NOUN_PHRASE,0.8,Concept
,a different state,,NOUN_PHRASE,0.8,Concept
,a direct sequel,,NOUN_PHRASE,0.8,Concept
,a documentary,,NOUN_PHRASE,0.8,Concept
,a drainage canal,,NOUN_PHRASE,0.8,Concept
,a drama series,,NOUN_PHRASE,0.8,Concept
,a fallen priest,,NOUN_PHRASE,0.8,Concept
,a family,,NOUN_PHRASE,0.8,Concept
,a famous example,,NOUN_PHRASE,0.8,Concept
,a feature film,,NOUN_PHRASE,0.8,Concept
,a featured producer,,NOUN_PHRASE,0.8,Concept
,a festival,,NOUN_PHRASE,0.8,Concept
,a few months later,,DATE,0.8,Entity
,a fictional character,,NOUN_PHRASE,0.8,Concept
,a finalist,,NOUN_PHRASE,0.8,Concept
,a focus city,,NOUN_PHRASE,0.8,Concept
,a forthcoming trilogy,,NOUN_PHRASE,0.8,Concept
,a founding member,,NOUN_PHRASE,0.8,Concept
,a friend,,NOUN_PHRASE,0.8,Concept
,a friend of napoleon,,WORK_OF_ART,0.8,Entity
,a genus,,NOUN_PHRASE,0.8,Concept
,a german immigrant,,NOUN_PHRASE,0.8,Concept
,a giant rat,,NOUN_PHRASE,0.8,Concept
,a girls crush,,NOUN_PHRASE,0.8,Concept
,a global impact,,NOUN_PHRASE,0.8,Concept
,a golden globe,,NOUN_PHRASE,0.8,Concept
,a good old fashioned orgy,,WORK_OF_ART,0.8,Entity
,a government agency,,NOUN_PHRASE,0.8,Concept
,a government organization,,NOUN_PHRASE,0.8,Concept
,a governors medallion,,NOUN_PHRASE,0.8,Concept
,a graduate degree,,NOUN_PHRASE,0.8,Concept
,a grammar school,,NOUN_PHRASE,0.8,Concept
,a great region,,NOUN_PHRASE,0.8,Concept
,a grinding beat,,NOUN_PHRASE,0.8,Concept
,a group,,NOUN_PHRASE,0.8,Concept
,a hat,,NOUN_PHRASE,0.8,Concept
,a hiatus,,NOUN_PHRASE,0.8,Concept
,a high school,,NOUN_PHRASE,0.8,Concept
,a hip injury,,NOUN_PHRASE,0.8,Concept
,a huge comeback,,NOUN_PHRASE,0.8,Concept
,a jazz drummer,,NOUN_PHRASE,0.8,Concept
,a jesuit environment,,NOUN_PHRASE,0.8,Concept
,a joint venture,,NOUN_PHRASE,0.8,Concept
,a kidnapped child,,NOUN_PHRASE,0.8,Concept
,a killer,,NOUN_PHRASE,0.8,Concept
,a large scale,,NOUN_PHRASE,0.8,Concept
,a launch,,NOUN_PHRASE,0.8,Concept
,a leading role,,NOUN_PHRASE,0.8,Concept
,a lenape people,,NOUN_PHRASE,0.8,Concept
,a list,,NOUN_PHRASE,0.8,Concept
,a live album,,NOUN_PHRASE,0.8,Concept
,a lost film,,NOUN_PHRASE,0.8,Concept
,a love song,,WORK_OF_ART,0.8,Entity
,a love song lee greenwood song,,A Love Song (Lee Greenwood song),0.8,Document
,a lowermiddleclass family,,NOUN_PHRASE,0.8,Concept
,a lyricist,,NOUN_PHRASE,0.8,Concept
,a main character,,NOUN_PHRASE,0.8,Concept
,a major brewer,,NOUN_PHRASE,0.8,Concept
,a major factor,,NOUN_PHRASE,0.8,Concept
,a mans man,,A Man's Man,0.8,Document
,a masquerade,,NOUN_PHRASE,0.8,Concept
,a medic,,NOUN_PHRASE,0.8,Concept
,a member,,NOUN_PHRASE,0.8,Concept
,a messenger,,NOUN_PHRASE,0.8,Concept
,a mexican philosopher,,NOUN_PHRASE,0.8,Concept
,a mexican state,,NOUN_PHRASE,0.8,Concept
,a microbrewery,,NOUN_PHRASE,0.8,Concept
,a middle school,,NOUN_PHRASE,0.8,Concept
,a middleweight,,NOUN_PHRASE,0.8,Concept
,a miniseries,,NOUN_PHRASE,0.8,Concept
,a minor hit,,NOUN_PHRASE,0.8,Concept
,a missionary,,NOUN_PHRASE,0.8,Concept
,a mixed force,,NOUN_PHRASE,0.8,Concept
,a motion,,NOUN_PHRASE,0.8,Concept
,a movie,,NOUN_PHRASE,0.8,Concept
,a municipality,,NOUN_PHRASE,0.8,Concept
,a museum,,NOUN_PHRASE,0.8,Concept
,a musical collaboration,,NOUN_PHRASE,0.8,Concept
,a musical range,,NOUN_PHRASE,0.8,Concept
,a mysterious substance,,NOUN_PHRASE,0.8,Concept
,a nashville sound,,NOUN_PHRASE,0.8,Concept
,a neighborhood,,NOUN_PHRASE,0.8,Concept
,a nephew,,NOUN_PHRASE,0.8,Concept
,a new audience,,NOUN_PHRASE,0.8,Concept
,a new beginning,,NOUN_PHRASE,0.8,Concept
,a new class,,NOUN_PHRASE,0.8,Concept
,a new company,,NOUN_PHRASE,0.8,Concept
,a new protagonist,,NOUN_PHRASE,0.8,Concept
,a new room,,NOUN_PHRASE,0.8,Concept
,a new site,,NOUN_PHRASE,0.8,Concept
,a newcomer,,NOUN_PHRASE,0.8,Concept
,a niece,,NOUN_PHRASE,0.8,Concept
,a night,,NOUN_PHRASE,0.8,Concept
,a night at the chinese opera,,A Night at the Chinese Opera,0.8,Document
,a night attack,,NOUN_PHRASE,0.8,Concept
,a njrotc program,,NOUN_PHRASE,0.8,Concept
,a novel,,NOUN_PHRASE,0.8,Concept
,a number,,NOUN_PHRASE,0.8,Concept
,a oneday event,,NOUN_PHRASE,0.8,Concept
,a oneday festival,,NOUN_PHRASE,0.8,Concept
,a parallel universe,,NOUN_PHRASE,0.8,Concept
,a pickup truck,,NOUN_PHRASE,0.8,Concept
,a play,,NOUN_PHRASE,0.8,Concept
,a player,,NOUN_PHRASE,0.8,Concept
,a pop rendition,,NOUN_PHRASE,0.8,Concept
,a pop song,,NOUN_PHRASE,0.8,Concept
,a pop standard,,NOUN_PHRASE,0.8,Concept
,a popular song,,NOUN_PHRASE,0.8,Concept
,a population,,NOUN_PHRASE,0.8,Concept
,a prayer,,NOUN_PHRASE,0.8,Concept
,a print,,NOUN_PHRASE,0.8,Concept
,a professional boxer,,NOUN_PHRASE,0.8,Concept
,a professional photographer,,NOUN_PHRASE,0.8,Concept
,a prolific journalist,,NOUN_PHRASE,0.8,Concept
,a prominent area,,NOUN_PHRASE,0.8,Concept
,a prosecutor,,NOUN_PHRASE,0.8,Concept
,a punjabi singer,,NOUN_PHRASE,0.8,Concept
,a quarterfinalist,,NOUN_PHRASE,0.8,Concept
,a radar station,,NOUN_PHRASE,0.8,Concept
,a radio announcer,,NOUN_PHRASE,0.8,Concept
,a radio playwright,,NOUN_PHRASE,0.8,Concept
,a rare survivor,,NOUN_PHRASE,0.8,Concept
,a recurring character,,NOUN_PHRASE,0.8,Concept
,a region,,NOUN_PHRASE,0.8,Concept
,a relationship,,NOUN_PHRASE,0.8,Concept
,a remake,,NOUN_PHRASE,0.8,Concept
,a rematch,,NOUN_PHRASE,0.8,Concept
,a result,,NOUN_PHRASE,0.8,Concept
,a rising star,,NOUN_PHRASE,0.8,Concept
,a road,,NOUN_PHRASE,0.8,Concept
,a rock album,,NOUN_PHRASE,0.8,Concept
,a role,,NOUN_PHRASE,0.8,Concept
,a romantic obsession,,NOUN_PHRASE,0.8,Concept
,a runaway hit,,NOUN_PHRASE,0.8,Concept
,a satellite station,,NOUN_PHRASE,0.8,Concept
,a school,,NOUN_PHRASE,0.8,Concept
,a scottish stage,,NOUN_PHRASE,0.8,Concept
,a scottish writer,,NOUN_PHRASE,0.8,Concept
,a screenwriter,,NOUN_PHRASE,0.8,Concept
,a secret agent,,NOUN_PHRASE,0.8,Concept
,a secret service,,NOUN_PHRASE,0.8,Concept
,a series,,NOUN_PHRASE,0.8,Concept
,a set,,NOUN_PHRASE,0.8,Concept
,a short book,,NOUN_PHRASE,0.8,Concept
,a short concert,,NOUN_PHRASE,0.8,Concept
,a short story,,NOUN_PHRASE,0.8,Concept
,a silver medalist,,NOUN_PHRASE,0.8,Concept
,a single,,NOUN_PHRASE,0.8,Concept
,a sister,,NOUN_PHRASE,0.8,Concept
,a software program,,NOUN_PHRASE,0.8,Concept
,a solo artist,,NOUN_PHRASE,0.8,Concept
,a solo singer,,NOUN_PHRASE,0.8,Concept
,a song,,NOUN_PHRASE,0.8,Concept
,a spanish version,,NOUN_PHRASE,0.8,Concept
,a special municipality,,NOUN_PHRASE,0.8,Concept
,a standard,,NOUN_PHRASE,0.8,Concept
,a stone book,,NOUN_PHRASE,0.8,Concept
,a string,,NOUN_PHRASE,0.8,Concept
,a subsidiary,,NOUN_PHRASE,0.8,Concept
,a suburban family,,NOUN_PHRASE,0.8,Concept
,a successful career,,NOUN_PHRASE,0.8,Concept
,a sunday,,NOUN_PHRASE,0.8,Concept
,a supporting role,,NOUN_PHRASE,0.8,Concept
,a symphonic overture,,NOUN_PHRASE,0.8,Concept
,a system,,NOUN_PHRASE,0.8,Concept
,a teosinte,,NOUN_PHRASE,0.8,Concept
,a theatrical film,,NOUN_PHRASE,0.8,Concept
,a thrumming bassline,,NOUN_PHRASE,0.8,Concept
,a time,,NOUN_PHRASE,0.8,Concept
,a track,,NOUN_PHRASE,0.8,Concept
,a trade language,,NOUN_PHRASE,0.8,Concept
,a transfer,,NOUN_PHRASE,0.8,Concept
,a tribute,,NOUN_PHRASE,0.8,Concept
,a twoweek holiday,,NOUN_PHRASE,0.8,Concept
,a universe,,NOUN_PHRASE,0.8,Concept
,a university education,,NOUN_PHRASE,0.8,Concept
,a vacation cruise,,NOUN_PHRASE,0.8,Concept
,a variety,,NOUN_PHRASE,0.8,Concept
,a village,,NOUN_PHRASE,0.8,Concept
,a visit,,NOUN_PHRASE,0.8,Concept
,a walk,,NOUN_PHRASE,0.8,Concept
,a welterweight superfight,,NOUN_PHRASE,0.8,Concept
,a wide variety,,NOUN_PHRASE,0.8,Concept
,a woman,,NOUN_PHRASE,0.8,Concept
,a world war ii,,EVENT,0.8,Entity
,a wrist operation,,NOUN_PHRASE,0.8,Concept
,a writer,,NOUN_PHRASE,0.8,Concept
,a writers track,,NOUN_PHRASE,0.8,Concept
,a xyloband,,NOUN_PHRASE,0.8,Concept
,a young girl,,NOUN_PHRASE,0.8,Concept
,a135,,ORG,0.8,Entity
,a4 holding,,A4 Holding,0.8,Document
,aaco,,NOUN_PHRASE,0.8,Concept
,aalborghus gymnasium,,Aalborghus Gymnasium,0.8,Document
,abdulqadir gilani,,PERSON,0.8,Entity
,about 1900,,DATE,0.8,Entity
,about 39000 acres,,NOUN_PHRASE,0.8,Concept
,about 6000 plants,,NOUN_PHRASE,0.8,Concept
,abroad,,GPE,0.8,Entity
,abu bakr siddiqui,,NOUN_PHRASE,0.8,Concept
,access,,NOUN_PHRASE,0.8,Concept
,achter col,,ORG,0.8,Entity
,acmi,,ORG,0.8,Entity
,act,,NOUN_PHRASE,0.8,Concept
,acting district,,ORG,0.8,Entity
,action,,NOUN_PHRASE,0.8,Concept
,action comedy film,,NOUN_PHRASE,0.8,Concept
,activities,,NOUN_PHRASE,0.8,Concept
,actor,,NOUN_PHRASE,0.8,Concept
,actor jordi molla,,NOUN_PHRASE,0.8,Concept
,actor martin sheen,,NOUN_PHRASE,0.8,Concept
,actor michael french,,NOUN_PHRASE,0.8,Concept
,actress amanda mealing,,NOUN_PHRASE,0.8,Concept
,actual events,,NOUN_PHRASE,0.8,Concept
,addition,,NOUN_PHRASE,0.8,Concept
,additional capacity,,NOUN_PHRASE,0.8,Concept
,adil shamasdin,,GPE,0.8,Entity
,adkins,,ORG,0.8,Entity
,adnani,,PERSON,0.8,Entity
,adnani ancestry,,NOUN_PHRASE,0.8,Concept
,adrian fletcher character,,Adrian Fletcher (character),0.8,Document
,adrian mannarino,,Adrian Mannarino,0.8,Document
,adult contemporary music,,NOUN_PHRASE,0.8,Concept
,advanced placement,,ORG,0.8,Entity
,adventure novels,,NOUN_PHRASE,0.8,Concept
,adventures,,NOUN_PHRASE,0.8,Concept
,advice,,NOUN_PHRASE,0.8,Concept
,aeroport de parischarles,,NOUN_PHRASE,0.8,Concept
,aerosmith,,PERSON,0.8,Entity
,aerosmiths 1975 song,,NOUN_PHRASE,0.8,Concept
,africa,,LOC,0.8,Entity
,afroasiatic,,ORG,0.8,Entity
,against all flags,,WORK_OF_ART,0.8,Entity
,age,,NOUN_PHRASE,0.8,Concept
,agencies,,NOUN_PHRASE,0.8,Concept
,agenore incrocci,,NOUN_PHRASE,0.8,Concept
,agent w4c,,NOUN_PHRASE,0.8,Concept
,ages,,NOUN_PHRASE,0.8,Concept
,aghajari oil field,,Aghajari oil field,0.8,Document
,agnes bugge,,Agnes Bugge,0.8,Document
,agriculture,,NOUN_PHRASE,0.8,Concept
,agrigento,,NOUN_PHRASE,0.8,Concept
,ahvaz field,,Ahvaz Field,0.8,Document
,aidan gillen,,PERSON,0.8,Entity
,air transportation,,NOUN_PHRASE,0.8,Concept
,aircraft,,NOUN_PHRASE,0.8,Concept
,airline operations,,NOUN_PHRASE,0.8,Concept
,airlines,,NOUN_PHRASE,0.8,Concept
,aisam,,PERSON,0.8,Entity
,aisamulhaq qureshi,,NOUN_PHRASE,0.8,Concept
,alan garner,,Alan Garner,0.8,Document
,alan menken,,PERSON,0.8,Entity
,alan rowe,,PERSON,0.8,Entity
,alan victor white,,PERSON,0.8,Entity
,alan white,,PERSON,0.8,Entity
,alan white oasis drummer,,Alan White (Oasis drummer),0.8,Document
,alaska,,GPE,0.8,Entity
,albert campbell singer,,Albert Campbell (singer),0.8,Document
,albert charles campbell,,PERSON,0.8,Entity
,albums,,NOUN_PHRASE,0.8,Concept
,alessi,,PERSON,0.8,Entity
,alex ferns,,PERSON,0.8,Entity
